wiêkszoœæ absolutna ; ** ; AD  ; 21 ;
atrament  sympatyczny ; ** ; AC ;  ; 
austriackie  gadanie ; ** ; AE ;  ; 
autorytet  moralny ; ** ; AA ; 21 ; 
awans  spo³eczny ; ** ; AC ; 21 ; 
awantura  arabska ; ** ; AD ; 21 ; 
azyl  polityczny ; ** ; AC ; ; 
babka  dro¿d¿owa ; ** ; AD ; 21 ; 
babka  wielkanocna ; ** ; AD ; 21 ; 
babka  z piasku ; *-- ; AD ;  ; 
babskie  gadanie ; ** ; AE ;  ; 
$ austryjackie gadanie ; AE ; ;
# babska *CBA sprawa ; ** ; AD ;  ; #babskie sprawy - inny wsg? &-
badawczy  wzrok ; ** ; AC ;  ;  
sokoli wzrok ; ** ; AC ; ;
baga¿  doœwiadczeñ ; *- ; AC ;  ; 
baga¿  rêczny ; ** ; AC ; 21 ; 
bagno  moralne ; ** ; AE ; 21 ; 
bajoñskie  pieni¹dze ; ** ; AG ;  ; 
bajoñskie  sumy *ADAAA ; ** ; AG ;  ; #wariant &-
bal *ACACACB karnawa³owy ; ** ; AC ;  ;
bal *ACACACB maskowy ; ** ; AC ;  ; 
bal *ACACACB maturalny ; ** ; AC ; komers ; 
bal *ACACACB sylwestrowy ; ** ; AC ;  ; 
ba³wan *ABABAAA morski ; ** ; AC ;  ; 
bank  krwi ; *- ; AC ;  ; 
bankrut  ¿yciowy ; ** ; AA ; 21 ; 
bañka  mydlana ; ** ; A ; 21 ; 
bar *ACAAAAA  mleczny ; ** ; AC ; ; 
baranek  wielkanocny ; ** ; AB ;  ; 
barania  g³owa ; ** ; AD ;  ; 
bariera  celna ; ** ; AD ;  ; 
bariera  dŸwiêku ; *- ; AD ;  ; 
barszcz  bia³y ; ** ; AC ; 21 ; 
barszcz  czerwony ; ** ; AC ; 21 ; 
barwy  narodowe ; ** ; AG;  ; 
$ kolory *AGAB narodowe ; ** ; AG ;  ; #lp? &-
barwy  ochronne ; ** ; AG ; 21 ; 
bateria  butelek ; *- ; AD ;  ; #wsg? +&
bazyliszkowe  spojrzenie ; ** ; AE ;  ; 
bazyliszkowy  wzrok ; ** ; AC ;  ; # wariant? Wzrok bazyliszka, spojrzenie bazyliszka +&
beczka  œmiechu ; *- ; AD ;  ; 
befsztyk  tatarski ; ** ; AC ; tatar ; 
benedyktyñska  cierpliwoœæ ; ** ; AD ;  ; 
benedyktyñska  praca ; ** ; AD ;  ; 
benedyktyñska  wytrwa³oœæ ; ** ; AD ;  ; 
bez *GBBAA atu ; -- ; AE ;  ; czm &
sytuacja bez *GBBAA wyjœcia ; *-- ; AD ;  ; #wlzn &w
bezkrwawe  ³owy ; ** ; AG ;  ; 
# bezludna  wyspa ; ** ; AD ; 21 ; 
# bezpañski  pies ; ** ; AB ;  ; 
bezwarunkowa  kapitulacja ; ** ; AD ;  ; # ? &
bia³a  broñ *ADCAAA ; ** ; AD ;  ; #ew. 21
bia³a  flota ; ** ; AD ;  ; 
bia³a  gor¹czka ; ** ; AD ;  ; 
bia³a  noc ; ** ; AD ;  ; 
bia³a  œmieræ ; ** ; AD ;  ; 
bia³e  cia³ka krwi ; **- ; AG ; 12 ; 
bia³e  szaleñstwo ; ** ; AE ;  ; 
bia³e  wino *AEAAAB ; ** ; AE ; ; #ew. 21
bia³y  chleb ; ** ; AC ;  ; #wariant: chleb pszenny?
bia³y  cz³owiek ; ** ; AA ;  ; 
bia³y  kruk ; ** ; AC ;  ; #AB?
# bia³y  murzyn ; ** ; AA ;  ; 
bia³y  ser ; ** ; AC ; 21 ; 
bia³y  walc ; ** ; AC ;  ; 
bia³y  wiersz ; ** ; AC ; 21 ; 
bicz  bo¿y ; ** ; AA ; ; #czm & ??
bicze  wodne ; ** ; AG ;  ; #czm + &
bieda z nêdz¹ ; *-- ; AD ;  ; 
bieg  maratoñski ; ** ; AC ;  ; 
$ maraton 
bieg  przez p³otki *ACABBA ; *-- ; AC ;  ; 
bieg  rzeki ; *- ; AC ; ; # ? &
bieg  wsteczny ; ** ; AC ; 21 ; 
bierny  opór ; ** ; AC ;  ; 
bie¿¹ca  woda ; ** ; AD ;  ; 
bie¿¹ce  potrzeby ; ** ; AG ;  ; #lp? ? 
bie¿¹cy  dzieñ ; ** ; AC ;  ; obecny ~ 
bie¿¹cy  miesi¹c ; ** ; AC ;  ; # jw
bie¿¹cy  rok ; ** ; AC ;  ; # jw
bilet  miesiêczny ; ** ; AC ;  ; 
bilet  wizytowy ; ** ; AC ;  ; 
bita  droga *ADAB ; ** ; AD ;  ; 
biuro  matrymonialne ; ** ; AE ;  ; 
blacha  falista ; ** ; AD ;  ; 
blada  twarz ; ** ; AD ;  ; # &w
$ bia³y cz³owiek ; ** ; AA ;
$ bia³y 
blaski i cienie ; *-* ; AG ; 321 ; 
# bliski  krewny ; ** ; AA ;  ; #wsg? + &
# b³¹d  maszynowy ; ** ; AC ;  ; 
# b³¹d  w rozumowaniu ; *-- ; AC ;  ; #wsg? - & wrb: ok 
b³êdna  owca ; ** ; AD ;  ; 
b³êdny  ognik ; ** ; AC ;  ; 
b³êdny  rycerz ; ** ; AA ;  ; 
b³êkitna  krew *ADCAAA ; ** ; AD ;  ; 
b³êkitne  he³my ; ** ; AG ;  ; 
# b³ogi  sen ; ** ; AC ;  ; #wsg? - & w
# b³ogi  spokój ; ** ; AC ;  ; #wsg? - & w
b³ona  dziewicza ; ** ; AD ;  ; 
boa dusiciel *ABAABA ; -* ; AB ;  ;
$ w¹¿ boa ; *-; AB ; ;  
bogactwa  naturalne ; ** ; AG ; 21 ; 
bogactwo  narodowe ; ** ; AE ; 21 ; 
bohater  narodowy ; ** ; AA ; 21 ; 
bohater  tytu³owy ; ** ; AA ; 21 ; 
bojaŸñ  bo¿a ; ** ; AD ;  ; 
bomba g³êbinowa ; ** ; AD ;  ; 
bon *ACAAAAA  ton *ACAAAAA ; -* ; AC ;  ; 
boski  nektar ; ** ; AC ; ambrozja ; 
bo¿a  krówka ; ** ; AB ; biedronka ; 
bóstwo  opiekuñcze ; ** ; AE ; 21 ; 
bractwo  kurkowe ; ** ; AE ;  ; 
brat  cioteczny ; ** ; AA ; 21 ; 
brat  mleczny ; ** ; AA ; 21 ; 
brat  stryjeczny ; ** ; AA ; 21 ; 
braterstwo  krwi ; *- ; AE ;  ; 
bratnia  d³oñ ; ** ; AD ;  ; 
bratnia  dusza ; ** ; AD ;  ; 
bratnia  pomoc ; ** ; AD ;  ; 
br¹zowy  medal ; ** ; AC ;  ; 
broñ *ADCAAA  konwencjonalna ; ** ; AD ;  ; 
broñ  *ADCAAA krótka ; ** ; AD ;  ; 
broñ *ADCAAA  masowego ra¿enia ; *-- ; AD ;  ; 
broñ *ADCAAA  palna ; ** ; AD ;  ; 
broñ *ADCAAA  rêczna ; ** ; AD ;  ; #+inne bronie
brudne  pieni¹dze ; ** ; AG ;  ; 
brudne  sprawki ; ** ; AG ;  ; 
brylantowe  gody ; ** ; AG ;  ; 
$ brylantowe  wesele ; ** ; AE ;  ; 
brzydkie  wyrazy ; ** ; AG ; wulgaryzm, przekleñstwo ;
$ brzydkie  s³owo ; ** ; AE ;  ; #warianty?
$ niecenzuralne  s³owo ; ** ; AE ; 21 ; 
$ nieparlamentarny  wyraz ; ** ; AC ;  ; 
$ nieparlamentarne s³owo ; ** ; AE ; ; &
brzydkie  kacz¹tko ; ** ; AB ;  ; 
bujda  na resorach ; *-- ; Ad ;  ; #czm &W 
bukiet  jarzyn ; *- ; AC ;  ; 
bu³awa  hetmañska ; ** ; AD ;  ; #21?
bu³awa  marsza³kowska ; ** ; AD ;  ; #21?
bu³ka  paryska ; ** ; AD ;  ; 
bu³ka  tarta ; ** ; AD ; 21 ; 
bu³ka  z *GBBAA mas³em ; *-- ; AD ;  ; 
burak  cukrowy ; ** ; AC ; 21 ; 
burza  mózgów ; *- ; AD ;  ; 
burza  oklasków ; *- ; AD ;  ; 
burza  w szklance wody ; *--- ; AD ;  ; 
burza  w³osów ; *- ; AD ;  ; 
buty *AGAB  na s³oninie ; *-- ; AG ;  ; 
buty zimowe ; ** ; AC ; ; & !
buty *ACAABAA narciarskie ; ** ; AC ;  ; #etykiety but-buty & !
buzia  w ciup ; *-- ; AD ;  ; 
bydlêca  skóra ; ** ; AD ; 21 ; #termin + &
byd³o  domowe ; ** ; AE ;  ; #21?
byd³o  rogate ; ** ; AE ;  ; 
byd³o  rzeŸne ; ** ; AE ;  ; 
bystra  rzeka ; ** ; AD ;  ;  # ? &
bystre  oko ; ** ; AE ;  ; #wsg? czm! wrb: ok, czêœæ mowy ??
bystre  spojrzenie ; ** ; AE ;  ; & +
bystry  dowcip ; ** ; AC ;  ; & archaiczne - &w
byt  absolutny ; ** ; AC ;  ; 
byt  materialny ; ** ; AC ;  ; 
carskie  wrota ; ** ; AG ;  ; 
cecha  charakterystyczna ; ** ; AC ;  ; & +
cecha  charakteru ; *- ; AD ;  ; 
cecha  dziedziczna ; ** ; AD ;  ; 
ceg³a  dziurawka ; ** ; AD ;  ; 
ceg³a  szamotowa ; ** ; AD ;  ; 
celny  strza³ *ACAAAAA ; ** ; AC ;  ; 
niecelny strza³ *ACAAAAA ; ** ; AC ; ;
chybiony strza³ *ACAAAAA ; ** ; AC ; ;
cena brutto ; *- ; AD ; ;
cena  detaliczna ; ** ; AD ;  ; 
cena  hurtowa ; ** ; AD ;  ; 
cena  netto ; *- ; AD ;  ; 
cena  umowna ; ** ; AD ; 21 ; 
centralne  ogrzewanie ; ** ; AE ; CO ; 
cenzura  prewencyjna ; ** ; AD ;  ; 
ceremonia³  dworski ; ** ; AC ;  ; #21?
cesarskie  ciêcie ; ** ; AE ; 21 ; 
cewka  moczowa ; ** ; AD ;  ; 
charakter  pisma ; *- ; AC ;  ; # ? &
chemia  fizyczna ; ** ; AD ;  ; #wariant: fizykochemia? (mocno specjalistyczne s³owo)
chemia  nieorganiczna ; ** ; AD ;  ; 
chemia  organiczna ; ** ; AD ;  ; 
chleb  powszedni ; ** ; AC ;  ; 
ch³odne  przyjêcie ; ** ; AE ;  ; 
ch³op *AAACAAAD jak *EK d¹b ; --- ; AA ;  ; 
ch³opiec  do bicia ; *-- ; AA ;  ; 
ch³opiec  okrêtowy ; ** ; AA ;  ; 
ch³opski  filozof ; ** ; AA ;  ; 
ch³opski  rozum ; ** ; AC ;  ; 
ch³opski  upór ; ** ; AC ;  ; 
chmura  burzowa ; ** ; AD ; 21 ; 
chmura  gradowa ; ** ; AD ; 21 ; 
chochlik  drukarski ; ** ; AC ;  ; 
chodliwy  towar ; ** ; AC ;  ; 
chodz¹ca  cnota ; ** ; AD ;  ; # ? &w (i nizej)
chodz¹ca  dobroæ ; ** ; AD ;  ; 
chodz¹ca  doskona³oœæ ; ** ; AD ;  ; 
chodz¹ca  encyklopedia ; ** ; AD ;  ; 
chodz¹ca  powaga ; ** ; AD ;  ; 
chodz¹ca  uczciwoœæ ; ** ; AD ;  ; 
choroba  dyplomatyczna ; ** ; AD ;  ; 
choroba  dziedziczna ; ** ; AD ; 21 ;  # ? &
choroba  kesonowa ; ** ; AD ;  ; 
choroba  lokomocyjna ; ** ; AD ;  ; 
choroba  morska ; ** ; AD ; 21 ; 
choroba  spo³eczna ; ** ; AD ;  ; 
choroba  zawodowa ; ** ; AD ;  ; 
chora³  gregoriañski ; ** ; AC ;  ; 
chóry anielskie ; ** ; AC ; 21 ; 
chór serafinów ; *- ; AC ;  ; 
chrzest  bojowy ; ** ; AC ; 21 ; 
chrzeœcijañska  demokracja ; ** ; AD ; ; 
chudy  ser ; ** ; AC ;  ; # + &
chytra  sztuka ; ** ; AD ;  ; 
cia³o  niebieskie ; ** ; AE ;  ; 
cia³o  obce ; ** ; AE ;  ; 
cia³o  pedagogiczne ; ** ; AE ;  ; 
cia³o  ustawodawcze ; ** ; AE ;  ; 
ci¹g dalszy ; ** ; AC ;  ; 
cicha  nadzieja ; ** ; AD ;  ; 
cicha  spó³ka ; ** ; AD ;  ; 
cicha  woda ; ** ; AD ;  ; 
ciche  dni ; ** ; AG ;  ; 
cichy  adorator ; ** ; AA ;  ; 
cichy  wielbiciel ; ** ; AA ;  ; #ew. wariant? - &
cichy  wspólnik ; ** ; AA ;  ; 
cielêcy wzrok ; ** ; AC ; ;
cielêcy  zachwyt ; ** ; AC ;  ; #ew. warianty? 
ciemny *CAB si³y ; ** ; AD ;  ; 
ciemne  sprawy ; ** ; AG ;  ; #'ciemna sprawa'? 
ciemnoœci  egipskie ; ** ; AG ; 21 ; 
ciemny  lud *ACAAAAA ; ** ; AC ;  ; # ? &
ciemny  typ *AAACAAAB ; ** ; AA ;  ; 
$ typ *AAACAAAB spod ciemnej gwiazdy ; *--- ; AA ; ; 
cienie  elizejskie ; ** ; AG ; 21 ; 
ciep³e  kluchy ; ** ; AF ;  ; #czm &
$ ciep³e  kluski *AGBA ; ** ; AF ;  ; 
ciep³e  s³owo ; ** ; AE ;  ; ? &w
ciête  pióro ; ** ; AE ;  ; 
ciê¿ar  atomowy ; ** ; AC ;  ; 
ciê¿ar  gatunkowy ; ** ; AC ; 21 ; 
ciê¿ka  artyleria ; ** ; AD ;  ; #wlzn - wojskowo i metaf.
ciê¿ka  atmosfera ; ** ; AD ;  ; # ? &w
ciê¿ka  forsa ; ** ; AD ;  ; 
ciê¿ka  rêka ; ** ; AD ;  ;
ciê¿ka noga ; ** ; AD ; ;
ciê¿ka  woda ; ** ; AD ;  ; 
ciê¿ki  chleb ; ** ; AC ; ; #1
ciê¿ki  grosz ; ** ; AC ;  ; 
ciê¿ki  kaliber ; ** ; AC ;  ; 
ciê¿ki  sen ; ** ; AC ;  ; 
ciê¿ki  wodór ; ** ; AC ; deuter ; 
ciê¿kie  chwile ; ** ; AG ;  ; 
ciê¿kie  czasy ; ** ; AG ;  ; 
ciê¿kie  pieni¹dze ; ** ; AG ;  ; 
ciê¿kie  powietrze ; ** ; AG ;  ; #duszno
ciê¿kie  roboty *ADAAA ; ** ; AG ;  ; 
cios *ACAAAAA  w plecy ; *-- ; AC ;  ; 
cisza  nocna ; ** ; AD ;  ; 
ciœnienie  atmosferyczne ; ** ; AE ;  ; 
$ ciœnienie  powietrza ; *- ; AE ;  ; 
ciœnienie  krwi ; *- ; AE ;  ; 
c³o  zaporowe ; ** ; AE ;  ; 
ogieñ zaporowy ; ** ; AC ; ;
cena zaporowa ; ** ; AD ; ;
cnoty  biblijne ; ** ; AG ; 21 ;
$ cnoty  chrzeœcijañskie ; ** ; AG ; 21 ; 
cnoty  kardynalne ; ** ; AD ;  ; 
szczyt  doskona³oœci ; *- ; AC ;  ; 
cud *ACAAAAA techniki ; *- ; AC ;  ; 
cuda *ACAD wianki ; -- ; AG ;  ; # ? &
cudowne  dziecko ; ** ; AE ;  ; 
cukier  gronowy ; ** ; AC ;  ; 
cukier  kryszta³ ; ** ; AC ;  ; 
cukier  puder ; ** ; AC ;  ; 
cukier  w kostkach ; *-- ; AC ;  ; 
cyfra  arabska ; ** ; AD ;  ; 
cyfra  rzymska ; ** ; AD ;  ; 
cygañskie  ¿ycie *AEBAA ; ** ; AE ;  ; 
cykl  s³oneczny ; ** ; AC ;  ; 
cywil  banda ; *- ; AD ;  ; 
cywilne  ubranie ; ** ; AE ; 21 ; 
czarna  dziura ; ** ; AD ;  ; 
czarna  godzina ; ** ; AD ;  ; 
czarna  jagoda ; ** ; AD ;  ; 
czarna  kawa ; ** ; AD ;  ; 
czarna  ksiêga ; ** ; AD ;  ; 
czarna  lista ; ** ; AD ;  ; 
czarna  magia ; ** ; AD ;  ; 
czarna  msza ; ** ; AD ;  ; 
czarna  niewdziêcznoœæ ; ** ; AD ;  ; 
czarna  ospa ; ** ; AD ;  ; 
czarna  owca ; ** ; AD ;  ; 
czarna  per³a ; ** ; AD ;  ; 
czarna  polewka ; ** ; AD ;  ; 
czarna  porzeczka ; ** ; AD ;  ; 
czarna  robota ; ** ; AD ;  ; #? &w
czarna  rozpacz ; ** ; AD ;  ; # ? &w
czarna  skrzynka ; ** ; AD ;  ; 
czarne  myœli *ADCCA ; ** ; AD ;  ; 
czarne  podniebienie ; ** ; AE ;  ; 
czarny  bez *ACAAAAA ; ** ; AC ;  ; 
czarny  charakter ; ** ; AC ;  ; 
czarny  chleb ; ** ; AC ;  ; 
czarny  diament ; ** ; AC ;  ; 
czarny  humor ; ** ; AC ;  ; 
czarny  l¹d ; ** ; AC ; Afryka ; 
$ czarny kontynent ; ** ; AC ; ; 
czarny  koñ *ABAABB ; ** ; AB ;  ; #etykieta?
czarny  rynek *ACABA ; ** ; AC ;  ; 
czarodziejska  ró¿d¿ka ; ** ; AD ; 21 ; 
czas  letni ; ** ; AC ;  ; 
czas  s³oneczny ; ** ; AC ;  ; 
czas  teraŸniejszy ; ** ; AC ;  ; 
czas  zimowy ; ** ; AC ;  ; 
czcza  gadanina ; ** ; AD ;  ; 
$ czcze  s³owa ; ** ; AG ;  ; 
czek  bez *GBBAA pokrycia ; *-- ; AC ;  ; 
czekolada  mleczna ; ** ; AD ; 21 ; 
czerwona  bur¿uazja ; ** ; AD ;  ; 
czerwona  kapusta ; ** ; AD ;  ; 
p³achta  na byka *ABAC ; *-- ; AD ;  ; 
czerwona  porzeczka ; ** ; AD ;  ; 
czerwone  cia³ka  krwi ; **- ; AG ;  ; # ? &
czerwony  kur *ABABAAA ; ** ; AB ; po¿ar ; 
czeski  b³¹d ; ** ; AC ;  ; 
czeski  film ; ** ; AC ;  ; 
czeskie  szk³o ; ** ; AE ;  ; 
czêœæ  mowy ; *- ; AD ;  ; 
cz³onek *AAAAB honorowy ; ** ; AA ;  ; # ? & (prezes h. itp.)
cz³onek *ACABBA mêski ; ** ; AC ; 21 ; 
cz³onek  *AAAAB rzeczywisty ; ** ; AA ;  ; 
cz³owiek *AAHA czynu ; *- ; AA ;  ; 
cz³owiek *AAHA honoru ; *- ; AA ;  ; 
cz³owiek *AAHA interesu ; *- ; AA ;  ; 
cz³owiek *AAHA jaskiniowy ; ** ; AA ;  ; 
cz³owiek *AAHA kopalny ; ** ; AA ;  ; 
cz³owiek *AAHA  neandertalski ; ** ; AA ; neandertalczyk ; 
go³êbie serce ; ** ; AE ;  ; 
z³a reputacja ; ** ; AD ;  ; # ?
$ kiepska reputacja ; ** ; AD ; ; 
$ w¹tpliwa reputacja ; ** ; AD ; ;
$ podejrzana reputacja ; ** ; AD ; ;
cz³owiek *AAHA pierwotny ; ** ; AA ;  ; 
cz³owiek *AAHA pióra *AEAAAB ; *- ; AA ; pisarz ; 
cz³owiek *AAHA pracy ; *- ; AA ;  ; #? &w
cz³owiek *AAHA wielkiego formatu ; *-- ; AA ;  ; 
cz³owiek *AAHA z *GBBAA marginesu ; *-- ; AA ;  ; # ? &
czo³o  kolumny ; *- ; AE ;  ; # ? &
czterolistna  koniczyna ; ** ; AD ;  ; 
cztery *DBAB deski ; ** ; AG ; trumna ; 
cztery *DBAB kó³ka ; ** ; AG ; samochód ; 
cztery *DBAB litery ; ** ; AG ; dupa ; 
cztery *DBAB œciany ; ** ; AG ; dom ; 
czujny  sen ; ** ; AC ;  ; 
czu³e  serce ; ** ; AE ;  ; # ? &
czu³e  s³ówka ; ** ; AG ;  ; 
czwarty  bieg ; ** ; AC ;  ; 
czyn  spo³eczny ; ** ; AC ;  ; 
czynna  s³u¿ba ; ** ; AD ;  ; #21?
czynna  zniewaga ; ** ; AD ;  ; 
czynny  wulkan ; ** ; AC ;  ; # ? &
czystka  etniczna ; ** ; AD ;  ; 
czysty  przypadek ; ** ; AC ;  ; 
czysty  zysk ; ** ; AC ;  ; 
dama  dworu ; *- ; AD ;  ; 
dama  kameliowa ; ** ; AD ;  ; 
dama  karowa ; ** ; AD ; 21 ; 
$ dama karo ; *- ; AD ; ;
dama  kierowa ; ** ;  AD ; 21 ; 
$ dama kier ; *- ; AD ; ;
dama  pikowa ; ** ; AD ; 21 ; 
$ dama pik ; *- ; AD ; ;
dama  treflowa ; ** ; AD ; 21 ; 
$ dama trefl ; *- ; AD ; ;
dama  do towarzystwa ; *-- ;  AD ;  ; 
danie *AEBAA  barowe ; ** ; AE ; ; 
danie *AEBAA dnia ; *- ; AE ; ; 
danie *AEBAA  firmowe ; ** ; AE ;  ; 
dar bo¿y ; ** ; AC ; 21 ; 
dar s³owa ; *- ; AC ;  ; 
dar natury ; *- ; AC ;  ; 
dar  nieba ; *- ; AC ;  ; 
dawne  czasy ; ** ; AG ;  ; # ?? &w
d¹b  korkowy ; ** ; AC ;  ;
deficyt  bud¿etowy ; ** ; AC ;  ; 
delikatna  materia ; ** ; AD ;  ; 
demokracja  ludowa ; ** ; AD ;  ; 
demokracja  parlamentarna ; ** ; AD ;  ; 
demonstracja  si³y *ADAAA ; *- ; AD ;  ; 
deski *AGBA  sceniczne ; ** ; AG ;  ; 
diabelska  sprawa ; ** ; AD ; 21 ; 
diabelski  m³yn ; ** ; AC ;  ; 
diabelskie  nasienie ; ** ; AE  ; ;
$ czartowskie nasienie ; ** ; AE ; ; 
diabelska  sztuczka ; ** ; AD ; 21 ; 
diabe³ *ABABAB  morski ; ** ; AB ;  ; 
dieta  mleczna ; ** ; AD  ;  ; # &
d³ug  honorowy ; ** ; AC ;  ; 
d³ug  karciany ; ** ; AC ;  ; 
d³ug  wdziêcznoœci ; *- ; AC ;  ; 
d³ugoœæ  geograficzna ; ** ; AD ;  ; 
dzieñ *ACABBB roboczy ; ** ; AC ;  ; #podwojny wzorzec
dno *AEAAAB  spo³eczne ; ** ; AE ; 21 ; 
koniec œwiata ; --- ; AC ;  ; 
dobór  naturalny ; ** ; AC ;  ; 
dobrane  towarzystwo ; ** ; AE ;  ; 
dobro  ogólne ; ** ; AE ;  ; #wsg?
dobroczynny  wp³yw ; ** ; AC ;  ; 
dobry numer ; -- ; AC ;  ; 
dobry omen ; -- ; AC ;  ; 
dochód  brutto ; *- ; AC ;  ; 
dochód  narodowy ; ** ; AC ;  ; 
dochód  netto ; *- ; AC ;  ; 
doczesna  wêdrówka ; ** ; AD ; 21 ; #wariant: ¿ycie?
dodatek  rodzinny ; ** ; AC ;  ; 
dodatni  biegun ; ** ; AC ; 21 ; 
doktorat  honorowy ; ** ; AC ;  ; 
$ doktorat honoris causa ; *-- ; AC ; ;
dolina  erozyjna ; ** ; AD ;  ; 
dolina  krasowa ; ** ; AD ;  ; 
dolina  lodowcowa ; ** ; AD ;  ; 
dolina  rzeczna ; ** ; AD ;  ; 
dolina  tektoniczna ; ** ; AD ;  ; 
dolna  powieka ; ** ; AD ;  ; 
dolna  warga ; ** ; AD ;  ; 
do³ek  startowy ; ** ; AC ;  ; 
do³y  spo³eczne ; ** ; AG ;  ; 
dom  akademicki ; ** ; AC ; akademik ; 
dom  bo¿y ; ** ; AC ; koœció³, œwi¹tynia ; 
dom  dziecka ; *- ; AC ;  ; 
dom  jednorodzinny ; ** ; AC ;  ; 
dom  kultury ; *- ; AC ;  ; 
dom  mieszkalny ; ** ; AC ;  ; 
dom  otwarty ; ** ; AC ;  ; 
dom  parterowy ; ** ; AC ;  ; 
dom  piêtrowy ; ** ; AC ;  ; 
dom  rodzinny ; ** ; AC ; 21 ; 
dom  schadzek ; *- ; AC ;  ; # powi¹zania z domem publicznym?
dom  towarowy ; ** ; AC ;  ; 
dom  uciech ; *- ; AC ; ; #jw.
dom  wczasowy ; ** ; AC ;  ; 
domek  fiñski ; ** ; AC ; 21 ; 
